id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
568,Brad,,,Lohaus,,MIL,,17
569,Mike,,,Brown,,UTA,,29
570,Kenny,,,Battle,,PHX,,24
571,Danny,,,Young,,POR,,25
572,Larry,,,Smith,,HOU,,11
573,Pooh,,,Richardson,,MIN,,18
574,Derek,,,Harper,,DAL,,7
575,Michael,,,Adams,,DEN,,8
576,Tim,,,Hardaway,,GSW,,10
577,Bimbo,,,Coles,,MIA,,16
578,Darrell,,,Walker,,WAS,,30
579,Kevin,,,Willis,,ATL,,1
580,Otis,,,Smith,,ORL,,22
581,James,,,Edwards,,DET,,9
582,Frank,,,Brickowski,,MIL,,17
583,Karl,,,Malone,,UTA,,29
584,Ian,,,Lockhart,,PHX,,24
585,Kevin,,,Duckworth,,POR,,25
586,Otis,,,Thorpe,,HOU,,11
587,Gerald,,,Glass,,MIN,,18
588,Alex,,,English,,DAL,,7
589,T.R.,,,Dunn,,DEN,,8
590,Alton,,,Lister,,GSW,,10
591,Sherman,,,Douglas,,MIA,,16
592,Charles,,,Jones,,WAS,,30
593,Moses,,,Malone,,ATL,,1
594,Mark,,,Acres,,ORL,,22
595,Lance,,,Blanks,,DET,,9
596,Jeff,,,Grayer,,MIL,,17
597,Chris,,,Munk,,UTA,,29
598,Jeff,,,Hornacek,,PHX,,24
599,Jerome,,,Kersey,,POR,,25
600,Dave,,,Feitl,,HOU,,11
601,Tod,,,Murphy,,MIN,,18
602,Lafayette,,,Lever,,DAL,,7
603,Corey,,,Gaines,,DEN,,8
604,Mitch,,,Richmond,,GSW,,10
605,Kevin,,,Edwards,,MIA,,16
606,Haywoode,,,Workman,,WAS,,30
607,Tom,,,Hammonds,,WAS,,30
608,Rumeal,,,Robinson,,ATL,,1
609,Greg,,,Kite,,ORL,,22
610,Vinnie,,,Johnson,,DET,,9
611,Jack,,,Sikma,,MIL,,17
612,Delaney,,,Rudd,,UTA,,29
613,Ed,,,Nealy,,PHX,,24
614,Wayne,,,Cooper,,POR,,25
615,Sleepy,,,Floyd,,HOU,,11
616,Felton,,,Spencer,,MIN,,18
617,Tyrone,,,Corbin,,MIN,,18
618,Marcus,,,Liberty,,DEN,,8
619,Walter,,,Davis,,DEN,,8
620,Tyrone,,,Hill,,GSW,,10
621,Alec,,,Kessler,,MIA,,16
622,Terry,,,Davis,,MIA,,16
623,Larry,,,Robinson,,WAS,,30
624,Sidney,,,Moncrief,,ATL,,1
625,Jeff,,,Turner,,ORL,,22
626,Scott,,,Hastings,,DET,,9
627,Alvin,,,Robertson,,MIL,,17
628,Steve,,,Henson,,MIL,,17
629,Andy,,,Toolson,,UTA,,29
630,Thurl,,,Bailey,,UTA,,29
631,Kurt,,,Rambis,,PHX,,24
632,Clyde,,,Drexler,,POR,,25
633,David,,,Wood,,HOU,,11
634,Sam,,,Mitchell,,MIN,,18
635,Rodney,,,McCray,,DAL,,7
636,Blair,,,Rasmussen,,DEN,,8
637,Kevin,,,Pritchard,,GSW,,10
638,Milt,,,Wagner,,MIA,,16
639,Bernard,,,King,,WAS,,30
640,Roy,,,Hinson,,BKN,,3
641,Matt,,,Bullard,,HOU,,11
642,Alan,,,Ogg,,MIA,,16
643,Kevin,,,Lynch,,CHA,,4
644,Larry,,,Krystkowiak,,MIL,,17
645,Pete,,,Chilcutt,,SAC,,26
646,Randy,,,Brown,,SAC,,26
647,Elliot,,,Perry,,LAC,,13
648,Jimmy,,,Oliver,,CLE,,6
649,Terrell,,,Brandon,,CLE,,6
650,Greg,,,Sutton,,SAS,,27
651,Tom,,,Copa,,SAS,,27
652,Donald,,,Hodge,,DAL,,7
653,Joao,,,Vianna,,DAL,,7
654,Mike,,,Iuzzolino,,DAL,,7
655,Greg,,,Anthony,,NYK,,20
656,Albert,,,King,,WAS,,30
657,Tellis,,,Frank,,MIN,,18
658,David,,,Benoit,,UTA,,29
659,Demetrius,,,Calip,,LAL,,14
660,Dikembe,,,Mutombo,,DEN,,8
661,Mark,,,Macon,,DEN,,8
662,Chris,,,Gatling,,GSW,,10
663,Victor,,,Alexander,,GSW,,10
664,Mark,,,Randall,,CHI,,5
665,Mitchell,,,Wiggins,,PHI,,23
666,Tharon,,,Mayes,,PHI,,23
667,Charles,,,Thomas,,DET,,9
668,Robert,,,Pack,,POR,,25
669,John,,,Bagley,,BOS,,2
670,Rick,,,Fox,,BOS,,2
671,Larry,,,Johnson,,CHA,,4
672,Alexander,,,Volkov,,ATL,,1
673,Stacey,,,Augmon,,ATL,,1
674,Carl,,,Thomas,,SAC,,26
675,Steven,,,Smith,,MIA,,16
676,Stanley,,,Roberts,,ORL,,22
677,Doug,,,Lee,,BKN,,3
678,Rafael,,,Addison,,BKN,,3
679,Sean,,,Green,,IND,,12
680,Corey,,,Crowder,,UTA,,29
681,Eric,,,Murdock,,UTA,,29
682,Kevin,,,Brooks,,DEN,,8
683,Carlton,,,McKinney,,NYK,,20
684,Billy,,,Owens,,GSW,,10
685,Doug,,,Smith,,DAL,,7
686,Marty,,,Conlon,,OKC,,21
687,Rich,,,King,,OKC,,21
688,Brad,,,Sellers,,DET,,9
689,Rodney,,,Monroe,,ATL,,1
690,Lanard,,,Copeland,,LAC,,13
691,LeRon,,,Ellis,,LAC,,13
692,Larry,,,Stewart,,WAS,,30
693,John,,,Turner,,HOU,,11
694,Charles,,,Shackleford,,PHI,,23
695,Keith,,,Owens,,LAL,,14
696,Paul,,,Graham,,ATL,,1
697,Kenny,,,Anderson,,BKN,,3
698,Carl,,,Herrera,,HOU,,11
699,Myron,,,Brown,,MIN,,18
700,Dale,,,Davis,,IND,,12
701,Labradford,,,Smith,,WAS,,30
702,Bison,,,Dele,,ORL,,22
703,Chuck,,,Nevitt,,CHI,,5
704,Patrick,,,Eddie,,NYK,,20
705,David,,,Rivers,,LAC,,13
706,Luc,,,Longley,,MIN,,18
707,Bob,,,McCann,,DET,,9
708,Donald,,,Royal,,SAS,,27
709,Anthony,,,Bowie,,ORL,,22
710,Chris,,,Corchiani,,ORL,,22
711,Stephen,,,Thompson,,ORL,,22
712,Jeff,,,Ruland,,PHI,,23
713,Ronnie,,,Grandison,,CHA,,4
